Tipo_Unidade;Unidade;Setor;Telefone_ramal;Email;Dirigente
Unidades acadêmicas ;Instituto de Ciências Biológicas (IB) ;Centro de Primatologia (CP);3107 81/88;mchtavares@unb.br;Profª. Maria Clotilde Henriques Tavares
Unidades acadêmicas ;Instituto de Ciências Exatas (IE) ;Instituto de Ciências Exatas (IE) ;3108;exatas@unb.br;Prof. Ricardo Ruviario
Unidades acadêmicas ;Instituto de Ciências Exatas (IE) ;Departamento de Ciência da Computação (CIC);3108;cic@unb.br;Prof. Li Weigang
Unidades acadêmicas ;Instituto de Ciências Exatas (IE) ;Departamento de Estatística (EST);3107 98/99;est@unb.br;Profª. Eduardo Yoshio Nakano
Unidades acadêmicas ;Instituto de Ciências Humanas (ICH) ;Instituto de Ciências Humanas (ICH) ;3107 7363;ihd@unb.br;Profª. Neuma Brilhante Rodrigues
Unidades acadêmicas ;Instituto de Ciências Humanas (ICH) ;Departamento de Filosofia (FIL);3108;fil@unb.br;Prof. André Leclerc
Unidades acadêmicas ;Instituto de Ciências Humanas (ICH) ;Departamento de Geografia (GEA);3108;geaunb@unb.br;Prof. Fernando Luiz Sobrinho de Araújo
Unidades acadêmicas ;Instituto de Ciências Humanas (ICH) ;Departamento de História (HIS);3108 13/98;his@unb.br;Prof. Jonas Wilson Pegoraro
Unidades acadêmicas ;Instituto de Ciências Humanas (ICH) ;Departamento de Serviço Social (SER);3107 38/43;ser@unb.br;Profª. Valdenízia Bento Peixoto
Unidades acadêmicas ;Instituto de Ciências Sociais (ICS) ;Instituto de Ciências Sociais (ICS) ;3107 43/45;ics@unb.br;Prof. Arthur Trindade Maranhão Costa 
Unidades acadêmicas ;Instituto de Ciências Sociais (ICS) ;Departamento de Antropologia (DAN);3108;dan@unb.br ;Prof. Daniel Schroeter Simião
Unidades acadêmicas ;Instituto de Ciências Sociais (ICS) ;Departamento de Estudos Latino-Americanos (ELA);3107 80/83;ela@unb.br;Prof. Raphael Lana Seabra
Unidades acadêmicas ;Instituto de Ciências Sociais (ICS) ;Departamento de Sociologia (SOL);3108;sol@unb.br;Prof. Stefan Klein
Unidades acadêmicas ;Instituto de Física (IF) ;Instituto de Física (IF) ;3107 7700;direcaofisica@unb.br;Prof. Olavo Filho
Unidades acadêmicas ;Instituto de Geociências (IG) ;Instituto de Geociências (IG) ;3108;igd@unb.br;Prof. José Elói Guimarães Campos 
Unidades acadêmicas ;Instituto de Geociências (IG) ;Observatório Sismológico (SIS);3107 1205;obsis@unb.br;Prof. Marcelo Peres Rocha
Unidades acadêmicas ;Instituto de Letras (IL) ;Instituto de Letras (IL) ;3108;ild@unb.br;Sandra Lúcia  Rodrigues da Rocha
Unidades acadêmicas ;Instituto de Letras (IL) ;Departamento de Línguas Estrangeiras e Tradução (LET);3108;ilsedep@unb.br;Edna Gisela Pizarro
Unidades acadêmicas ;Instituto de Letras (IL) ;Departamento de Linguística, Português e Línguas Clássicas (LIP);3108;ilsedep@unb.br;Heloísa Maria Moreira Lima de Almeida Salles
Unidades acadêmicas ;Instituto de Letras (IL) ;Departamento de Teoria Literária e Literatura (TEL);3107 46/53;ilsedep@unb.br;Pedro Mandagará Ribeiro
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Instituto de Psicologia (IP) ;3107 6624;ipd@unb.br;Maria Inês Galdolfo Conceição
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Departamento de Psicologia Clínica (PCL);3108;pcl@unb.br;Porfª Daniela Sheinkman Chatelard
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Departamento de Psicologia Escolar e do Desenvolvimento (PED);3107 6830;psides@unb.br;Prof. Asdrúbal Borges Formiga Sobrinho
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Departamento de Processos Psicológicos Básicos (PPB);3108;ppb@unb.br;Profª. Vania Maria Moraes Ferreira
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Departamento de Matemática (MAT) ;3107 6479 ;secretaria@mat.unb.br ;Prof. Giovany de Jesus Malcher Figueiredo 
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Departamento de Psicologia Social e do Trabalho (PST);3107 6828;pst@unb.br;Prof. Josemberg Moura de Andrade
Unidades acadêmicas ;Instituto de Psicologia (IP) ;Centro de Atendimento e Estudos Psicológicos (CAEP);3107-1680;asscaep@unb.br;Profª. Márcia Cristina Maesso
Unidades acadêmicas ;Instituto de Química (IQ) ;Instituto de Química (IQ) ;3108;direcaoiq@unb.br;Prof. Marcos Juliano Prauchner
Unidades acadêmicas ;Instituto de Relações Internacionais (IREL) ;Instituto de Relações Internacionais (IREL) ;3108;irel@unb.br;Prof. Pio Penna Filho
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;; ;;;
